loan_id,month_end,days_past_due,pd_estimate,lgd_estimate,prev_dpd
LOAN000408,2023-01-31,30,0.156,0.8168,
LOAN000464,2023-01-31,0,0.0962,0.5755,
LOAN000152,2023-01-31,0,0.1546,0.7245,
LOAN000672,2023-01-31,0,0.0369,0.7835,
LOAN000616,2023-01-31,30,0.294,0.6262,
LOAN000084,2023-01-31,0,0.0869,0.8445,
LOAN000042,2023-01-31,30,0.2327,0.6133,
LOAN000494,2023-01-31,0,0.0969,0.578,
LOAN000193,2023-01-31,0,0.2946,0.7127,
LOAN000025,2023-01-31,0,0.0722,0.6323,
LOAN000317,2023-01-31,0,0.0185,0.8259,
LOAN000863,2023-01-31,0,0.1059,0.7509,
LOAN000155,2023-01-31,0,0.0265,0.5761,
LOAN000299,2023-01-31,30,0.2997,0.6917,
LOAN000712,2023-01-31,0,0.2959,0.8241,
LOAN000316,2023-01-31,30,0.0831,0.4973,
LOAN000177,2023-01-31,0,0.0255,0.4346,
LOAN000457,2023-01-31,30,0.246,0.7865,
LOAN000401,2023-01-31,0,0.2799,0.2646,
LOAN000412,2023-01-31,0,0.2848,0.5663,
LOAN000433,2023-01-31,30,0.262,0.2339,
LOAN000968,2023-01-31,0,0.1578,0.6959,
LOAN000408,2023-01-31,0,0.0612,0.8471,30.0
LOAN000391,2023-01-31,0,0.1389,0.8737,
LOAN000396,2023-01-31,60,0.057,0.4612,
LOAN000831,2023-01-31,0,0.2205,0.7972,
LOAN000743,2023-01-31,0,0.199,0.6564,
LOAN000418,2023-01-31,0,0.1425,0.3579,
LOAN000889,2023-01-31,0,0.2391,0.2403,
LOAN000108,2023-01-31,0,0.2057,0.6169,
LOAN000368,2023-01-31,60,0.0586,0.4424,
LOAN000417,2023-01-31,0,0.1238,0.8129,
LOAN000590,2023-01-31,60,0.2117,0.8533,
LOAN000784,2023-01-31,0,0.1467,0.5966,
LOAN000542,2023-01-31,0,0.2451,0.6284,
LOAN000207,2023-01-31,0,0.2907,0.2916,
LOAN000936,2023-01-31,0,0.2939,0.4351,
LOAN000564,2023-01-31,0,0.1558,0.7663,
LOAN000930,2023-01-31,0,0.1294,0.5484,
LOAN000298,2023-01-31,0,0.1737,0.42,
LOAN000067,2023-01-31,60,0.2034,0.5716,
LOAN000662,2023-01-31,0,0.2951,0.5519,
LOAN000345,2023-01-31,0,0.1966,0.5248,
LOAN000851,2023-01-31,0,0.2394,0.5256,
LOAN000287,2023-01-31,30,0.292,0.5881,
LOAN000098,2023-01-31,0,0.192,0.8614,
LOAN000596,2023-01-31,0,0.2521,0.8125,
LOAN000008,2023-01-31,60,0.1403,0.5779,
LOAN000675,2023-01-31,30,0.1445,0.231,
LOAN000440,2023-01-31,60,0.1194,0.8107,
LOAN000981,2023-01-31,0,0.0552,0.6477,
LOAN000031,2023-01-31,0,0.0798,0.2865,
LOAN000370,2023-01-31,0,0.2895,0.8144,
LOAN000740,2023-01-31,0,0.0949,0.5651,
LOAN000277,2023-01-31,60,0.0799,0.3615,
LOAN000869,2023-01-31,0,0.2187,0.7608,
LOAN000261,2023-01-31,30,0.1891,0.3897,
LOAN000636,2023-01-31,0,0.1264,0.7821,
LOAN000002,2023-01-31,0,0.1095,0.6319,
LOAN000865,2023-01-31,0,0.0589,0.4297,
LOAN000010,2023-01-31,0,0.0328,0.4179,
LOAN000456,2023-01-31,0,0.0253,0.3884,
LOAN000126,2023-01-31,0,0.094,0.3066,
LOAN000668,2023-01-31,0,0.1582,0.3695,
LOAN000217,2023-01-31,60,0.1524,0.4473,
LOAN000186,2023-01-31,60,0.2115,0.3944,
LOAN000556,2023-01-31,0,0.2648,0.494,
LOAN000011,2023-01-31,0,0.1637,0.4321,
LOAN000595,2023-01-31,30,0.0996,0.7807,
LOAN000648,2023-01-31,0,0.2869,0.5783,
LOAN000443,2023-01-31,0,0.0613,0.3207,
LOAN000415,2023-01-31,60,0.1938,0.5867,
LOAN000691,2023-01-31,0,0.067,0.378,
LOAN000997,2023-01-31,30,0.1773,0.7096,
LOAN000040,2023-01-31,30,0.2949,0.5155,
LOAN000725,2023-01-31,0,0.048,0.8611,
LOAN000174,2023-01-31,0,0.2651,0.2604,
LOAN000317,2023-01-31,0,0.0537,0.3158,0.0
LOAN000626,2023-01-31,0,0.2317,0.7019,
LOAN000981,2023-01-31,0,0.1213,0.3605,0.0
LOAN000669,2023-01-31,30,0.1575,0.236,
LOAN000607,2023-01-31,0,0.1252,0.5841,
LOAN000410,2023-01-31,30,0.2769,0.837,
LOAN000409,2023-01-31,0,0.1562,0.5217,
LOAN000337,2023-01-31,0,0.1834,0.5559,
LOAN000526,2023-01-31,0,0.166,0.2015,
LOAN000222,2023-01-31,90,0.1382,0.7557,
LOAN000025,2023-01-31,0,0.0776,0.8964,0.0
LOAN000209,2023-01-31,0,0.1049,0.2274,
LOAN000223,2023-01-31,0,0.2503,0.3299,
LOAN000780,2023-01-31,30,0.152,0.3276,
LOAN000006,2023-01-31,60,0.1447,0.7816,
LOAN000333,2023-01-31,60,0.2076,0.8853,
LOAN000040,2023-01-31,0,0.2812,0.8588,30.0
LOAN000337,2023-01-31,0,0.0785,0.3502,0.0
LOAN000873,2023-01-31,0,0.2569,0.4355,
LOAN000741,2023-01-31,0,0.2529,0.6808,
LOAN000175,2023-01-31,0,0.0801,0.3732,
LOAN000494,2023-01-31,0,0.0583,0.8376,0.0
LOAN000313,2023-01-31,60,0.2878,0.4742,
LOAN000589,2023-01-31,30,0.0899,0.3699,
LOAN000893,2023-01-31,0,0.0281,0.3246,
LOAN000019,2023-01-31,0,0.0512,0.8767,
LOAN000012,2023-01-31,0,0.1002,0.2981,
LOAN000095,2023-01-31,0,0.0216,0.8866,
LOAN000802,2023-01-31,0,0.1178,0.2692,
LOAN000340,2023-01-31,0,0.1756,0.7687,
LOAN000201,2023-01-31,0,0.2367,0.4185,
LOAN000101,2023-01-31,0,0.2588,0.8453,
LOAN000436,2023-01-31,30,0.2616,0.8501,
LOAN000522,2023-01-31,0,0.2805,0.8488,
LOAN000845,2023-01-31,0,0.1317,0.3891,
LOAN000384,2023-01-31,30,0.2384,0.2443,
LOAN000089,2023-01-31,0,0.1926,0.8861,
LOAN000131,2023-01-31,0,0.0205,0.6178,
LOAN000070,2023-01-31,0,0.0663,0.3521,
LOAN000782,2023-01-31,0,0.0709,0.5353,
LOAN000407,2023-01-31,0,0.0733,0.8384,
LOAN000344,2023-01-31,60,0.073,0.2603,
LOAN000031,2023-01-31,30,0.1034,0.6208,0.0
LOAN000717,2023-01-31,0,0.0683,0.2129,
LOAN000016,2023-01-31,0,0.081,0.4733,
LOAN000331,2023-01-31,30,0.0765,0.6682,
LOAN000791,2023-01-31,0,0.197,0.486,
LOAN000119,2023-01-31,0,0.0948,0.7186,
LOAN000216,2023-01-31,30,0.0458,0.4984,
LOAN000700,2023-01-31,0,0.2739,0.5883,
LOAN000835,2023-01-31,30,0.1261,0.4686,
LOAN000452,2023-01-31,0,0.2936,0.5389,
LOAN000170,2023-01-31,90,0.2033,0.4914,
LOAN000498,2023-01-31,0,0.0708,0.3705,
LOAN000470,2023-01-31,0,0.0474,0.3001,
LOAN000705,2023-01-31,60,0.2583,0.6801,
LOAN000189,2023-01-31,90,0.0944,0.3341,
LOAN000571,2023-01-31,0,0.0264,0.2194,
LOAN000970,2023-01-31,0,0.203,0.8764,
LOAN000762,2023-01-31,60,0.0155,0.3125,
LOAN000868,2023-01-31,0,0.0317,0.2702,
LOAN000061,2023-01-31,0,0.2297,0.6111,
LOAN000967,2023-01-31,30,0.0929,0.4844,
LOAN000106,2023-01-31,30,0.2297,0.7105,
LOAN000136,2023-01-31,0,0.1804,0.5945,
LOAN000946,2023-01-31,90,0.0287,0.5986,
LOAN000083,2023-01-31,60,0.2786,0.6661,
LOAN000073,2023-01-31,0,0.1051,0.3141,
LOAN000104,2023-01-31,60,0.2165,0.7371,
LOAN000386,2023-01-31,0,0.1958,0.4815,
LOAN000643,2023-01-31,0,0.1218,0.7056,
LOAN000037,2023-01-31,0,0.2634,0.5739,
LOAN000240,2023-01-31,0,0.0288,0.2725,
LOAN000649,2023-01-31,60,0.0974,0.3625,
LOAN000101,2023-01-31,60,0.2773,0.4793,0.0
